date,year,month,day,importer_en,product_type_en,country_origin_en,country_export_en,importer_ko,product_name,product_en,product_type_ko,exporter_en,expiry_date,country_origin_ko,country_export_ko,importer,notes
2026-04-17,2026,4,17,Onnuri Bio,Deer velvet (dried),New Zealand,China,(주)온누리바이오생약,녹용,DEER HORN,녹용(건조),"TIELING AOLU TRADE CO.,LTD",,뉴질랜드,중국,(주)온누리바이오생약,
2026-04-07,2026,4,7,WooSung (Mr Bang),Deer velvet (dried),New Zealand,China,(주)우성생약,녹용(건조),DRIED RED DEER VELVET ANTLER,녹용(건조),"XIFENG MINHE DEER PRODUCTS CO.,LTD",,뉴질랜드,중국,(주)우성생약,
2026-04-07,2026,4,7,GaOn Pharm,Deer velvet (frozen),New Zealand,New Zealand,주식회사 가온제약,냉동녹용,FROZEN RED DEER VELVET ANTLER,생녹용(냉동),CK IMPORT-EXPORT COMPANY NZ LIMITED,,뉴질랜드,뉴질랜드,주식회사 가온제약,
2026-04-03,2026,4,3,KNC Deertrade,Deer velvet (frozen),New Zealand,New Zealand,(주)케이앤씨디어트레이드,생녹용,WHOLE FROZEN DEER VELVET,생녹용(냉동),ROKLAND CORPORATION LIMITED,2026-02-25 ~,뉴질랜드,뉴질랜드,(주)케이앤씨디어트레이드,
2026-04-03,2026,4,3,HwaYong Pharm.,Deer velvet (frozen),New Zealand,New Zealand,화용제약,생녹용(냉동),FROZEN DEER HORN,생녹용(냉동),CK IMPORT EXPORT CO.(NZ) LTD,,뉴질랜드,뉴질랜드,화용제약,
2026-03-25,2026,3,25,OnBio,Deer velvet (frozen),New Zealand,New Zealand,온바이오,생녹용(냉동),FROZEN DEER VELVET,생녹용(냉동),YIK LUNG TONG(NZ) INTERNAIONAL LIMITED,,뉴질랜드,뉴질랜드,온바이오,
2026-03-17,2026,3,17,KNC Deertrade,Deer velvet (frozen),New Zealand,New Zealand,(주)케이앤씨디어트레이드,생녹용,FROZEN RED DEER VELVET ANTLER,생녹용(냉동),PROVELCO LTD,2026-01-21 ~,뉴질랜드,뉴질랜드,(주)케이앤씨디어트레이드,
2026-03-16,2026,3,16,Bio Dot (Han Dong Herb),Deer velvet (frozen),New Zealand,New Zealand,(주)바이오닷,생녹용,FROZEN RED DEER VELVET ANTLER,생녹용(냉동),C K IMPORT EXPORT CO (NZ) LTD,2026-01-27 ~ 2029-01-27,뉴질랜드,뉴질랜드,(주)바이오닷,
2026-03-12,2026,3,12,YW International,Deer velvet (frozen),New Zealand,New Zealand,와이더블유 인터내셔날,냉동녹용,FROZEN WHOLE DEER VELVET ANTLER,생녹용(냉동),ROKLAND CORPORATION LIMITED,,뉴질랜드,뉴질랜드,와이더블유 인터내셔날,
2026-03-12,2026,3,12,KGC,Deer velvet (frozen),New Zealand,New Zealand,(주)한국인삼공사,생녹용(냉동),FROZEN RED DEER VELVET ANTLER,생녹용(냉동),PAREX INTERNATIONAL LTD,,뉴질랜드,뉴질랜드,(주)한국인삼공사,
2026-03-11,2026,3,11,Yujin Trade,Deer velvet (dried),New Zealand,China,유진통상,녹용(건조),DRIED RED DEER VELVET ANTLER,녹용(건조),DALIAN HENGLU DEER INDUSTRY CO LTD,,뉴질랜드,중국,유진통상,
2026-02-20,2026,2,20,Eryong Pharm.,Deer velvet (frozen),New Zealand,New Zealand,주식회사 이룡제약,생녹용(냉동),FROZEN DEER VELVET,생녹용(냉동),YIK LUNG TONG(NZ) INTERNAIONAL LIMITED,,뉴질랜드,뉴질랜드,주식회사 이룡제약,
2026-02-05,2026,2,5,HwaYong Pharm.,Deer velvet (frozen),New Zealand,New Zealand,화용제약,생녹용(냉동),FROZEN DEER HORN,생녹용(냉동),CK IMPORT EXPORT CO.(NZ) LTD,,뉴질랜드,뉴질랜드,화용제약,
2026-01-27,2026,1,27,KNC Deertrade,Deer velvet (dried),New Zealand,China,(주)케이앤씨디어트레이드,녹용(건조),DRIED RED DEER VELVET ANTLER,녹용(건조),"DALIAN F.T.Z. JUNFENG INTERNATIONAL INDUSTRIAL & TRADE CO.,LTD.",,뉴질랜드,중국,(주)케이앤씨디어트레이드,
2026-01-15,2026,1,15,YW International,Deer velvet (frozen),New Zealand,New Zealand,와이더블유 인터내셔날,냉동녹용,FROZEN WHOLE DEER VELVET ANTLER,생녹용(냉동),ROKLAND CORPORATION LIMITED,,뉴질랜드,뉴질랜드,와이더블유 인터내셔날,
2026-01-09,2026,1,9,Geonhyang Pharm.,Deer velvet (dried),Russia,Russia,건향제약주식회사,녹용(건조),DEER HORNS VELVET ANTLER,녹용(건조),IP SHPILEKOV ALEXEY MIKHAILOVICH,,러시아,러시아,건향제약주식회사,
2026-01-09,2026,1,9,Bio Dot (Han Dong Herb),Deer velvet (frozen),New Zealand,New Zealand,(주)바이오닷,생녹용,FROZEN RED DEER VELVET ANTLER,생녹용(냉동),C K IMPORT EXPORT CO (NZ) LTD,2025-12-09 ~ 2028-12-09,뉴질랜드,뉴질랜드,(주)바이오닷,
2025-12-15,2025,12,15,HwaYong Pharm.,Deer velvet (dried),New Zealand,China,화용제약,녹용,DEER HORN,녹용(건조),DALIAN SHENG EN DEER PRODUCTS CO LTD,,뉴질랜드,중국,화용제약,
2025-12-15,2025,12,15,YongBo (Mr. Woljin Kim),Deer velvet (dried),New Zealand,China,(주)용보제약,녹용(건조),DRIED RED DEER VELVET ANTLER,녹용(건조),"XIFENG MINHE DEER PRODUCTS CO.,LTD",,뉴질랜드,중국,(주)용보제약,
2025-12-10,2025,12,10,HwaYong Pharm.,Deer velvet (frozen),New Zealand,New Zealand,화용제약,생녹용(냉동),FROZEN DEER HORN,생녹용(냉동),CK IMPORT EXPORT CO.(NZ) LTD,,뉴질랜드,뉴질랜드,화용제약,
2025-12-10,2025,12,10,KNC Deertrade,Deer velvet (frozen),New Zealand,New Zealand,(주)케이앤씨디어트레이드,생녹용(냉동),FROZEN RED DEER VELVET ANTLER,생녹용(냉동),PROVELCO LTD,,뉴질랜드,뉴질랜드,(주)케이앤씨디어트레이드,
2025-12-08,2025,12,8,Yujin Trade,Deer velvet (dried),New Zealand,China,유진통상,녹용(건조),DEER HORNS VELVET ANTLER,녹용(건조),DALIAN HENGLU DEER INDUSTRY CO LTD,,뉴질랜드,중국,유진통상,
2025-12-04,2025,12,4,JoEun Pharm,Deer velvet (dried),Russia,Russia,조은생약,녹용,DEER HORN,녹용(건조),"UIMON CO.,LTD",,러시아,러시아,조은생약,
2025-11-28,2025,11,28,WooSung (Mr Bang),Deer velvet (dried),New Zealand,China,(주)우성생약,녹용(건조),DRIED RED DEER VELVET ANTLER,녹용(건조),"XIFENG MINHE DEER PRODUCTS CO.,LTD",,뉴질랜드,중국,(주)우성생약,
2025-11-20,2025,11,20,OnBio,Deer velvet (dried),New Zealand,China,온바이오,녹용(건조),DRIED RED DEER VELVET ANTLER,녹용(건조),DALIAN SHENG EN DEER PRODUCTS CO LTD,,뉴질랜드,중국,온바이오,
2025-11-14,2025,11,14,Eryong Pharm.,Deer velvet (frozen),New Zealand,New Zealand,주식회사 이룡제약,생녹용(냉동),FROZEN DEER HORN,생녹용(냉동),ORIENTAL DEER HOLDINGS LIMITED,,뉴질랜드,뉴질랜드,주식회사 이룡제약,
2025-11-11,2025,11,11,DaeWon RTD,Deer velvet (dried),Russia,Russia,(주)대원알디티,녹용(건조),DEER HORNS VELVET ANTLER,녹용(건조),SPK ABAISKI,,러시아,러시아,(주)대원알디티,
2025-11-11,2025,11,11,Heungsoo Nogyong,Deer velvet (dried),Russia,Russia,흥수녹용,녹용(건조),MARAL DEER HORNS,녹용(건조),SPK ABAISKI,,러시아,러시아,흥수녹용,
2025-10-23,2025,10,23,Eryong Pharm.,Deer velvet (dried),New Zealand,China,주식회사 이룡제약,녹용,DEER HORN,녹용(건조),"DALIAN CHANG LU DEER INDUSTRY CO., LTD",2025-10-09 ~,뉴질랜드,중국,주식회사 이룡제약,
2025-10-23,2025,10,23,KNC Deertrade,Deer velvet (frozen),New Zealand,New Zealand,(주)케이앤씨디어트레이드,생녹용,FROZEN RED DEER VELVET ANTLER,생녹용(냉동),ORIENTAL DEER HOLDINGS LIMITED,2025-09-08 ~,뉴질랜드,뉴질랜드,(주)케이앤씨디어트레이드,
2025-09-23,2025,9,23,KGC,Deer velvet (dried),New Zealand,New Zealand,(주)한국인삼공사,녹용(건조),DRIED RED DEER VELVET ANTLER,녹용(건조),PAREX INTERNATIONAL LTD,,뉴질랜드,뉴질랜드,(주)한국인삼공사,
2025-09-23,2025,9,23,OnBio,Deer velvet (dried),New Zealand,China,온바이오,녹용(건조),DRIED RED DEER VELVET ANTLER,녹용(건조),"DALIAN F.T.Z. JUNFENG INTERNATIONAL INDUSTRIAL & TRADE CO.,LTD.",,뉴질랜드,중국,온바이오,
2025-09-09,2025,9,9,KGC,Deer velvet (dried),New Zealand,New Zealand,(주)한국인삼공사,녹용(건조),DRIED RED DEER VELVET ANTLER,녹용(건조),ORIENTAL DEER HOLDINGS LIMITED,,뉴질랜드,뉴질랜드,(주)한국인삼공사,
2025-09-02,2025,9,2,Hyangna Bio,Deer velvet (dried),New Zealand,China,향나바이오 주식회사,녹용,DEER HORN,녹용(건조),DALIAN SHENG EN DEER PRODUCTS CO LTD,,뉴질랜드,중국,향나바이오 주식회사,
2025-08-29,2025,8,29,Yujin Trade,Deer velvet (dried),New Zealand,China,유진통상,녹용(건조),DEER HORNS VELVET ANTLER,녹용(건조),DALIAN HENGLU DEER INDUSTRY CO LTD,,뉴질랜드,중국,유진통상,
2025-08-27,2025,8,27,Siberian Antlers Pharms Inc.,Deer velvet (dried),Russia,Russia,시베리안앤틀러팜스 주식회사,녹용(건조),DEER HORN,녹용(건조),"OOO ""SEMINSKY""",,러시아,러시아,시베리안앤틀러팜스 주식회사,
2025-07-01,2025,7,1,Onnuri Bio,Deer velvet (dried),New Zealand,China,(주)온누리바이오생약,녹용,DEER HORN,녹용(건조),DALIAN SHENG EN DEER PRODUCTS CO LTD,,뉴질랜드,중국,(주)온누리바이오생약,
2025-06-26,2025,6,26,HwaYong Pharm.,Deer velvet (frozen),New Zealand,New Zealand,화용제약,생녹용(냉동),FROZEN DEER HORN,생녹용(냉동),CK IMPORT EXPORT CO.(NZ) LTD,,뉴질랜드,뉴질랜드,화용제약,
2025-06-04,2025,6,4,KNC Deertrade,Deer velvet (frozen),New Zealand,New Zealand,(주)케이앤씨디어트레이드,생녹용(냉동),FROZEN RED DEER VELVET ANTLER,생녹용(냉동),ORIENTAL DEER HOLDINGS LIMITED,,뉴질랜드,뉴질랜드,(주)케이앤씨디어트레이드,
2025-06-04,2025,6,4,YW International,Deer velvet (frozen),New Zealand,New Zealand,와이더블유 인터내셔날,냉동녹용,FROZEN RED DEER VELVET ANTLER(WHOLE),생녹용(냉동),TASMAN VELVETPROCESSORS LTD,,뉴질랜드,뉴질랜드,와이더블유 인터내셔날,
2025-05-27,2025,5,27,Onnuri Bio,Deer velvet (dried),Russia,Russia,(주)온누리바이오생약,녹용,DEER HORN,녹용(건조),"TEN-EXPORT LTD,",,러시아,러시아,(주)온누리바이오생약,
2025-05-22,2025,5,22,Onnuri Bio,Deer velvet (frozen),New Zealand,New Zealand,(주)온누리바이오생약,생녹용(냉동),FROZEN DEER HORN,생녹용(냉동),ORIENTAL DEER HOLDINGS LIMITED,,뉴질랜드,뉴질랜드,(주)온누리바이오생약,
2025-05-01,2025,5,1,KNC Deertrade,Deer velvet (frozen),New Zealand,New Zealand,(주)케이앤씨디어트레이드,생녹용(냉동),FROZEN RED DEER VELVET ANTLER,생녹용(냉동),ROKLAND CORPORATION LIMITED,,뉴질랜드,뉴질랜드,(주)케이앤씨디어트레이드,
2025-05-01,2025,5,1,HwaYong Pharm.,Deer velvet (frozen),New Zealand,New Zealand,화용제약,생녹용(냉동),FROZEN DEER HORN,생녹용(냉동),CK IMPORT EXPORT CO.(NZ) LTD,,뉴질랜드,뉴질랜드,화용제약,
2025-04-25,2025,4,25,KNC Deertrade,Deer velvet (frozen),New Zealand,New Zealand,(주)케이앤씨디어트레이드,생녹용,FROZEN RED DEER VELVET ANTLER,생녹용(냉동),PROVELCO LTD,2025-02-20 ~,뉴질랜드,뉴질랜드,(주)케이앤씨디어트레이드,
2025-04-18,2025,4,18,Chunho N Care,Deer velvet (dried),New Zealand,New Zealand,(주)천호엔케어,녹용,DEER HORN,녹용(건조),STREAMLANDS EXPORTS NZ LTD,2025-03-24 ~,뉴질랜드,뉴질랜드,(주)천호엔케어,
2025-04-11,2025,4,11,Yujin Trade,Deer velvet (dried),New Zealand,China,유진통상,녹용(건조),DEER HORNS VELVET ANTLER,녹용(건조),"DALIAN CHANG LU DEER INDUSTRY CO., LTD",,뉴질랜드,중국,유진통상,
2025-04-02,2025,4,2,Bio Dot (Han Dong Herb),Deer velvet (frozen),New Zealand,New Zealand,(주)바이오닷,생녹용,FROZEN RED DEER VELVET ANTLER,생녹용(냉동),YIK LUNG TONG(NZ) INTERNAIONAL LIMITED,2025-02-10 ~,뉴질랜드,뉴질랜드,(주)바이오닷,
2025-03-28,2025,3,28,Bibong Herb,Deer velvet (dried),New Zealand,New Zealand,주식회사 비봉허브,녹용,DEER HORN,녹용(건조),STREAMLANDS EXPORTS NZ LTD,2025-03-06 ~,뉴질랜드,뉴질랜드,주식회사 비봉허브,
2025-03-26,2025,3,26,Eryong Pharm.,Deer velvet (frozen),New Zealand,New Zealand,주식회사 이룡제약,생녹용,FROZEN RED DEER VELVET ANTLER,생녹용(냉동),ORIENTAL DEER HOLDINGS LIMITED,,뉴질랜드,뉴질랜드,주식회사 이룡제약,
2025-03-17,2025,3,17,KNC Deertrade,Deer velvet (frozen),New Zealand,New Zealand,(주)케이앤씨디어트레이드,생녹용(냉동),FROZEN RED DEER VELVET ANTLER,생녹용(냉동),ROKLAND CORPORATION LIMITED,,뉴질랜드,뉴질랜드,(주)케이앤씨디어트레이드,
2025-03-13,2025,3,13,YW International,Deer velvet (frozen),New Zealand,New Zealand,와이더블유 인터내셔날,냉동녹용,FROZEN RED DEER VELVET ANTLER(WHOLE),생녹용(냉동),TASMAN VELVETPROCESSORS LTD,,뉴질랜드,뉴질랜드,와이더블유 인터내셔날,
2025-03-12,2025,3,12,GaOn Pharm,Deer velvet (frozen),New Zealand,New Zealand,주식회사 가온제약,생녹용,FROZEN RED DEER VELVET ANTLER,생녹용(냉동),PROVELCO LTD,2025-01-30 ~,뉴질랜드,뉴질랜드,주식회사 가온제약,
2025-03-10,2025,3,10,Daeho Pharm.,Deer velvet (dried),New Zealand,China,대호제약주식회사,녹용(건조),DRIED RED DEER VELVET ANTLER,녹용(건조),TIELING HUANGJIA YIPIN FOODS CO LTD,,뉴질랜드,중국,대호제약주식회사,
2025-03-07,2025,3,7,KNC Deertrade,Deer velvet (frozen),New Zealand,New Zealand,(주)케이앤씨디어트레이드,생녹용(냉동),FROZEN RED DEER VELVET ANTLER,생녹용(냉동),CK IMPORT-EXPORT COMPANY NZ LIMITED,,뉴질랜드,뉴질랜드,(주)케이앤씨디어트레이드,
2025-03-05,2025,3,5,Rokone,Deer velvet (frozen),New Zealand,New Zealand,록원,냉동녹용,FROZEN RED DEER VELVET ANTLER(WHOLE),생녹용(냉동),STREAMLANDS EXPORTS NZ LTD,,뉴질랜드,뉴질랜드,록원,
2025-03-04,2025,3,4,HwaYong Pharm.,Deer velvet (frozen),New Zealand,New Zealand,화용제약,생녹용(냉동),FROZEN DEER HORN,생녹용(냉동),CK IMPORT EXPORT CO.(NZ) LTD,,뉴질랜드,뉴질랜드,화용제약,
2025-02-28,2025,2,28,KNC Deertrade,Deer velvet (frozen),New Zealand,New Zealand,(주)케이앤씨디어트레이드,생녹용(냉동),FROZEN RED DEER VELVET ANTLER,생녹용(냉동),STREAMLANDS EXPORTS NZ LTD,,뉴질랜드,뉴질랜드,(주)케이앤씨디어트레이드,
2025-02-26,2025,2,26,Taeahn (Mr. Ahn),Deer velvet (dried),New Zealand,New Zealand,태안약업(주),녹용,DRIED RED DEER VELVET ANTLER(WHOLE),녹용(건조),ROKLAND CORPORATION LIMITED,,뉴질랜드,뉴질랜드,태안약업(주),
2025-02-25,2025,2,25,Yujin Trade,Deer velvet (dried),Russia,Russia,유진통상,녹용(건조),DEER HORNS VELVET ANTLER,녹용(건조),WONALTAY INTERNATIONAL,,러시아,러시아,유진통상,
2025-02-18,2025,2,18,Onnuri Bio,Deer velvet (dried),Russia,Russia,(주)온누리바이오생약,녹용,DEER HORN,녹용(건조),"OOO ""SEMINSKY""",,러시아,러시아,(주)온누리바이오생약,
2025-02-18,2025,2,18,Hyangna Bio,Deer velvet (dried),Russia,Russia,향나바이오 주식회사,녹용,DEER HORN,녹용(건조),"OOO ""SEMINSKY""",,러시아,러시아,향나바이오 주식회사,
2025-02-18,2025,2,18,DaeWon RTD,Deer velvet (dried),Russia,Russia,(주)대원알디티,녹용(건조),DEER HORNS VELVET ANTLER,녹용(건조),SPK ABAISKI,,러시아,러시아,(주)대원알디티,
2025-02-14,2025,2,14,YW International,Deer velvet (frozen),New Zealand,New Zealand,와이더블유 인터내셔날,냉동녹용,FROZEN RED DEER VELVET ANTLER(WHOLE),생녹용(냉동),TASMAN VELVETPROCESSORS LTD,,뉴질랜드,뉴질랜드,와이더블유 인터내셔날,
2025-01-24,2025,1,24,Yuhan Care,Deer velvet (frozen),New Zealand,New Zealand,주식회사 유한건강생활,녹용,FROZEN WHOLE STICK VELVET,생녹용(냉동),ALPINE DEER NZLP,,뉴질랜드,뉴질랜드,주식회사 유한건강생활,
2025-01-15,2025,1,15,Rokone,Deer velvet (frozen),New Zealand,New Zealand,록원,냉동녹용,FROZEN RED DEER VELVET ANTLER(WHOLE),생녹용(냉동),STREAMLANDS EXPORTS NZ LTD,,뉴질랜드,뉴질랜드,록원,
2025-01-09,2025,1,9,"Jinsoo Deer Co., Ltd.",Deer velvet (frozen),New Zealand,New Zealand,(주)진수녹용,생녹용,FROZEN RED DEER VELVET ANTLER,생녹용(냉동),PROVELCO LTD,2024-12-10 ~,뉴질랜드,뉴질랜드,(주)진수녹용,
2024-12-27,2024,12,27,KNC Deertrade,Deer velvet (frozen),New Zealand,New Zealand,(주)케이앤씨디어트레이드,생녹용(냉동),FROZEN RED DEER VELVET ANTLER,생녹용(냉동),STREAMLANDS EXPORTS NZ LTD,,뉴질랜드,뉴질랜드,(주)케이앤씨디어트레이드,
2024-12-19,2024,12,19,KNC Deertrade,Deer velvet (frozen),New Zealand,New Zealand,(주)케이앤씨디어트레이드,생녹용(냉동),FROZEN RED DEER VELVET ANTLER,생녹용(냉동),ROKLAND CORPORATION LIMITED,,뉴질랜드,뉴질랜드,(주)케이앤씨디어트레이드,
2024-12-12,2024,12,12,HwaYong Pharm.,Deer velvet (frozen),New Zealand,New Zealand,화용제약,생녹용(냉동),FROZEN DEER HORN,생녹용(냉동),CK IMPORT EXPORT CO.(NZ) LTD,,뉴질랜드,뉴질랜드,화용제약,
2024-12-09,2024,12,9,WooSung (Mr Bang),Deer velvet (dried),New Zealand,China,(주)우성생약,녹용(건조),DRIED RED DEER VELVET ANTLER,녹용(건조),"XIFENG MINHE DEER PRODUCTS CO.,LTD",,뉴질랜드,중국,(주)우성생약,
2024-12-09,2024,12,9,Hans Pharm Inc,Deer velvet (dried),New Zealand,China,한스약품주식회사,건조녹용,DRIED REDDEER VELVET ANTLER,녹용(건조),"DALIAN ZHUOFENG DEER PRODUCTS CO.,LTD",,뉴질랜드,중국,한스약품주식회사,
2024-12-04,2024,12,4,KNC Deertrade,Deer velvet (frozen),New Zealand,New Zealand,(주)케이앤씨디어트레이드,생녹용(냉동),FROZEN RED DEER VELVET ANTLER,생녹용(냉동),CK IMPORT-EXPORT COMPANY NZ LIMITED,,뉴질랜드,뉴질랜드,(주)케이앤씨디어트레이드,
2024-11-21,2024,11,21,Onnuri Bio,Deer velvet (frozen),New Zealand,New Zealand,(주)온누리바이오생약,생녹용(냉동),FROZEN DEER HORN,생녹용(냉동),STREAMLANDS EXPORTS NZ LTD,2024-05-15 ~,뉴질랜드,뉴질랜드,(주)온누리바이오생약,
2024-11-20,2024,11,20,Daeho Pharm.,Deer velvet (dried),New Zealand,China,대호제약주식회사,녹용(건조),DRIED RED DEER VELVET ANTLER,녹용(건조),TIELING HUANGJIA YIPIN FOODS CO LTD,,뉴질랜드,중국,대호제약주식회사,
2024-11-04,2024,11,4,DaeWon RTD,Deer velvet (dried),Russia,Russia,(주)대원알디티,녹용(건조),DEER HORNS VELVET ANTLER,녹용(건조),SPK ABAISKI,,러시아,러시아,(주)대원알디티,
2024-11-04,2024,11,4,Heungsoo Nogyong,Deer velvet (dried),Russia,Russia,흥수녹용,녹용(건조),DEER HORNS VELVET ANTLER,녹용(건조),KARYAKINA A.F,,러시아,러시아,흥수녹용,
2024-11-01,2024,11,1,Yuhan Care,Animal based processed food,New Zealand,New Zealand,주식회사 유한건강생활,녹용분말,DRIED DEER VELVET POWDER,기타 동물성가공식품,ALPINE DEER NZ LP,2024-07-23 ~ 2029-07-23,뉴질랜드,뉴질랜드,주식회사 유한건강생활,
2024-10-04,2024,10,4,Hans Pharm Inc,Deer velvet (dried),China,China,한스약품주식회사,건조녹용,DRIED REDDEER VELVET ANTLER(WHOLE),녹용(건조),DALIAN FTZ JINGHUI DEER PRODUCTS CO LTD,,중국,중국,한스약품주식회사,
2024-08-06,2024,8,6,HwaYong Pharm.,Deer velvet (frozen),New Zealand,New Zealand,화용제약,생녹용(냉동),FROZEN DEER HORN,생녹용(냉동),CK IMPORT EXPORT CO.(NZ) LTD,,뉴질랜드,뉴질랜드,화용제약,
2024-08-06,2024,8,6,YW International,Deer velvet (frozen),New Zealand,New Zealand,와이더블유 인터내셔날,냉동녹용,FROZEN WHOLE DEER VELVET ANTLER,생녹용(냉동),ROKLAND CORPORATION LIMITED,,뉴질랜드,뉴질랜드,와이더블유 인터내셔날,
2024-08-06,2024,8,6,YW International,Deer velvet (frozen),New Zealand,New Zealand,와이더블유 인터내셔날,냉동녹용,FROZEN RED DEER VELVET ANTLER(WHOLE),생녹용(냉동),TASMAN VELVETPROCESSORS LTD,,뉴질랜드,뉴질랜드,와이더블유 인터내셔날,
2024-08-06,2024,8,6,HwaYong Pharm.,Deer velvet (frozen),New Zealand,New Zealand,화용제약,생녹용(냉동),FROZEN DEER HORN,생녹용(냉동),CK IMPORT EXPORT CO.(NZ) LTD,,뉴질랜드,뉴질랜드,화용제약,
2024-07-26,2024,7,26,Yujin Trade,Deer velvet (dried),New Zealand,China,유진통상,건조녹용,DRIED RED DEER VELVET ANTLEK,녹용(건조),LIAONING WANLU PHARMACEUTICALCO LTD,2024-07-09 ~,뉴질랜드,중국,유진통상,
2024-07-17,2024,7,17,Yuhan Care,Animal based processed food,New Zealand,New Zealand,주식회사 유한건강생활,녹용분말,DRIED DEER VELVET POWDER,기타 동물성가공식품,ALPINE DEER NZ LP,2023-08-04 ~ 2028-08-04,뉴질랜드,뉴질랜드,주식회사 유한건강생활,
2024-07-08,2024,7,8,DHG Global,Deer velvet (dried),Russia,Russia,(주)디에이치지글로벌,녹용,DEER HORN,녹용(건조),"AYULA CO.,LTD",2024-05-29 ~,러시아,러시아,(주)디에이치지글로벌,
2024-06-26,2024,6,26,Yujin Trade,Deer velvet (dried),Russia,Russia,유진통상,건조녹용,DEER HORNS,녹용(건조),WONALTAY INTERNATIONAL,2024-06-06 ~,러시아,러시아,유진통상,
