date,importer_ko,product_name,product_type_ko,country_origin_ko,country_export_ko,expiry_date,notes,ingested_at
2026-04-17,(주)온누리바이오생약,녹용,녹용(건조),뉴질랜드,중국,,,2026-07-04T23:37:12Z (bootstrap)
2026-04-07,(주)우성생약,녹용(건조),녹용(건조),뉴질랜드,중국,,,2026-07-04T23:37:12Z (bootstrap)
2026-04-07,주식회사 가온제약,냉동녹용,생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2026-04-03,(주)케이앤씨디어트레이드,생녹용,생녹용(냉동),뉴질랜드,뉴질랜드,2026-02-25 ~,,2026-07-04T23:37:12Z (bootstrap)
2026-04-03,화용제약,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2026-03-25,온바이오,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2026-03-17,(주)케이앤씨디어트레이드,생녹용,생녹용(냉동),뉴질랜드,뉴질랜드,2026-01-21 ~,,2026-07-04T23:37:12Z (bootstrap)
2026-03-16,(주)바이오닷,생녹용,생녹용(냉동),뉴질랜드,뉴질랜드,2026-01-27 ~ 2029-01-27,,2026-07-04T23:37:12Z (bootstrap)
2026-03-12,와이더블유 인터내셔날,냉동녹용,생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2026-03-12,(주)한국인삼공사,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2026-03-11,유진통상,녹용(건조),녹용(건조),뉴질랜드,중국,,,2026-07-04T23:37:12Z (bootstrap)
2026-02-20,주식회사 이룡제약,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2026-02-05,화용제약,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2026-01-27,(주)케이앤씨디어트레이드,녹용(건조),녹용(건조),뉴질랜드,중국,,,2026-07-04T23:37:12Z (bootstrap)
2026-01-15,와이더블유 인터내셔날,냉동녹용,생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2026-01-09,건향제약주식회사,녹용(건조),녹용(건조),러시아,러시아,,,2026-07-04T23:37:12Z (bootstrap)
2026-01-09,(주)바이오닷,생녹용,생녹용(냉동),뉴질랜드,뉴질랜드,2025-12-09 ~ 2028-12-09,,2026-07-04T23:37:12Z (bootstrap)
2025-12-15,화용제약,녹용,녹용(건조),뉴질랜드,중국,,,2026-07-04T23:37:12Z (bootstrap)
2025-12-15,(주)용보제약,녹용(건조),녹용(건조),뉴질랜드,중국,,,2026-07-04T23:37:12Z (bootstrap)
2025-12-10,화용제약,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2025-12-10,(주)케이앤씨디어트레이드,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2025-12-08,유진통상,녹용(건조),녹용(건조),뉴질랜드,중국,,,2026-07-04T23:37:12Z (bootstrap)
2025-12-04,조은생약,녹용,녹용(건조),러시아,러시아,,,2026-07-04T23:37:12Z (bootstrap)
2025-11-28,(주)우성생약,녹용(건조),녹용(건조),뉴질랜드,중국,,,2026-07-04T23:37:12Z (bootstrap)
2025-11-20,온바이오,녹용(건조),녹용(건조),뉴질랜드,중국,,,2026-07-04T23:37:12Z (bootstrap)
2025-11-14,주식회사 이룡제약,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2025-11-11,(주)대원알디티,녹용(건조),녹용(건조),러시아,러시아,,,2026-07-04T23:37:12Z (bootstrap)
2025-11-11,흥수녹용,녹용(건조),녹용(건조),러시아,러시아,,,2026-07-04T23:37:12Z (bootstrap)
2025-10-23,주식회사 이룡제약,녹용,녹용(건조),뉴질랜드,중국,2025-10-09 ~,,2026-07-04T23:37:12Z (bootstrap)
2025-10-23,(주)케이앤씨디어트레이드,생녹용,생녹용(냉동),뉴질랜드,뉴질랜드,2025-09-08 ~,,2026-07-04T23:37:12Z (bootstrap)
2025-09-23,(주)한국인삼공사,녹용(건조),녹용(건조),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2025-09-23,온바이오,녹용(건조),녹용(건조),뉴질랜드,중국,,,2026-07-04T23:37:12Z (bootstrap)
2025-09-09,(주)한국인삼공사,녹용(건조),녹용(건조),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2025-09-02,향나바이오 주식회사,녹용,녹용(건조),뉴질랜드,중국,,,2026-07-04T23:37:12Z (bootstrap)
2025-08-29,유진통상,녹용(건조),녹용(건조),뉴질랜드,중국,,,2026-07-04T23:37:12Z (bootstrap)
2025-08-27,시베리안앤틀러팜스 주식회사,녹용(건조),녹용(건조),러시아,러시아,,,2026-07-04T23:37:12Z (bootstrap)
2025-07-01,(주)온누리바이오생약,녹용,녹용(건조),뉴질랜드,중국,,,2026-07-04T23:37:12Z (bootstrap)
2025-06-26,화용제약,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2025-06-04,(주)케이앤씨디어트레이드,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2025-06-04,와이더블유 인터내셔날,냉동녹용,생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2025-05-27,(주)온누리바이오생약,녹용,녹용(건조),러시아,러시아,,,2026-07-04T23:37:12Z (bootstrap)
2025-05-22,(주)온누리바이오생약,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2025-05-01,(주)케이앤씨디어트레이드,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2025-05-01,화용제약,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2025-04-25,(주)케이앤씨디어트레이드,생녹용,생녹용(냉동),뉴질랜드,뉴질랜드,2025-02-20 ~,,2026-07-04T23:37:12Z (bootstrap)
2025-04-18,(주)천호엔케어,녹용,녹용(건조),뉴질랜드,뉴질랜드,2025-03-24 ~,,2026-07-04T23:37:12Z (bootstrap)
2025-04-11,유진통상,녹용(건조),녹용(건조),뉴질랜드,중국,,,2026-07-04T23:37:12Z (bootstrap)
2025-04-02,(주)바이오닷,생녹용,생녹용(냉동),뉴질랜드,뉴질랜드,2025-02-10 ~,,2026-07-04T23:37:12Z (bootstrap)
2025-03-28,주식회사 비봉허브,녹용,녹용(건조),뉴질랜드,뉴질랜드,2025-03-06 ~,,2026-07-04T23:37:12Z (bootstrap)
2025-03-26,주식회사 이룡제약,생녹용,생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2025-03-17,(주)케이앤씨디어트레이드,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2025-03-13,와이더블유 인터내셔날,냉동녹용,생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2025-03-12,주식회사 가온제약,생녹용,생녹용(냉동),뉴질랜드,뉴질랜드,2025-01-30 ~,,2026-07-04T23:37:12Z (bootstrap)
2025-03-10,대호제약주식회사,녹용(건조),녹용(건조),뉴질랜드,중국,,,2026-07-04T23:37:12Z (bootstrap)
2025-03-07,(주)케이앤씨디어트레이드,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2025-03-05,록원,냉동녹용,생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2025-03-04,화용제약,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2025-02-28,(주)케이앤씨디어트레이드,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2025-02-26,태안약업(주),녹용,녹용(건조),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2025-02-25,유진통상,녹용(건조),녹용(건조),러시아,러시아,,,2026-07-04T23:37:12Z (bootstrap)
2025-02-18,(주)온누리바이오생약,녹용,녹용(건조),러시아,러시아,,,2026-07-04T23:37:12Z (bootstrap)
2025-02-18,향나바이오 주식회사,녹용,녹용(건조),러시아,러시아,,,2026-07-04T23:37:12Z (bootstrap)
2025-02-18,(주)대원알디티,녹용(건조),녹용(건조),러시아,러시아,,,2026-07-04T23:37:12Z (bootstrap)
2025-02-14,와이더블유 인터내셔날,냉동녹용,생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2025-01-24,주식회사 유한건강생활,녹용,생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2025-01-15,록원,냉동녹용,생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2025-01-09,(주)진수녹용,생녹용,생녹용(냉동),뉴질랜드,뉴질랜드,2024-12-10 ~,,2026-07-04T23:37:12Z (bootstrap)
2024-12-27,(주)케이앤씨디어트레이드,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2024-12-19,(주)케이앤씨디어트레이드,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2024-12-12,화용제약,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2024-12-09,(주)우성생약,녹용(건조),녹용(건조),뉴질랜드,중국,,,2026-07-04T23:37:12Z (bootstrap)
2024-12-09,한스약품주식회사,건조녹용,녹용(건조),뉴질랜드,중국,,,2026-07-04T23:37:12Z (bootstrap)
2024-12-04,(주)케이앤씨디어트레이드,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2024-11-21,(주)온누리바이오생약,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,2024-05-15 ~,,2026-07-04T23:37:12Z (bootstrap)
2024-11-20,대호제약주식회사,녹용(건조),녹용(건조),뉴질랜드,중국,,,2026-07-04T23:37:12Z (bootstrap)
2024-11-04,(주)대원알디티,녹용(건조),녹용(건조),러시아,러시아,,,2026-07-04T23:37:12Z (bootstrap)
2024-11-04,흥수녹용,녹용(건조),녹용(건조),러시아,러시아,,,2026-07-04T23:37:12Z (bootstrap)
2024-11-01,주식회사 유한건강생활,녹용분말,기타 동물성가공식품,뉴질랜드,뉴질랜드,2024-07-23 ~ 2029-07-23,,2026-07-04T23:37:12Z (bootstrap)
2024-10-04,한스약품주식회사,건조녹용,녹용(건조),중국,중국,,,2026-07-04T23:37:12Z (bootstrap)
2024-08-06,화용제약,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2024-08-06,와이더블유 인터내셔날,냉동녹용,생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2024-08-06,와이더블유 인터내셔날,냉동녹용,생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2024-08-06,화용제약,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2024-07-26,유진통상,건조녹용,녹용(건조),뉴질랜드,중국,2024-07-09 ~,,2026-07-04T23:37:12Z (bootstrap)
2024-07-17,주식회사 유한건강생활,녹용분말,기타 동물성가공식품,뉴질랜드,뉴질랜드,2023-08-04 ~ 2028-08-04,,2026-07-04T23:37:12Z (bootstrap)
2024-07-08,(주)디에이치지글로벌,녹용,녹용(건조),러시아,러시아,2024-05-29 ~,,2026-07-04T23:37:12Z (bootstrap)
2024-06-26,유진통상,건조녹용,녹용(건조),러시아,러시아,2024-06-06 ~,,2026-07-04T23:37:12Z (bootstrap)
2024-06-13,(주)용보제약,녹용(건조),녹용(건조),뉴질랜드,중국,2024-05-20 ~,,2026-07-04T23:37:12Z (bootstrap)
2024-06-10,(주)케이앤씨디어트레이드,생녹용,생녹용(냉동),뉴질랜드,뉴질랜드,2024-04-17 ~,,2026-07-04T23:37:12Z (bootstrap)
2024-06-07,(주)우성생약,녹용(건조),녹용(건조),뉴질랜드,중국,2024-05-17 ~,,2026-07-04T23:37:12Z (bootstrap)
2024-05-29,(주)대덕제약,녹용,녹용(건조),러시아,러시아,,,2026-07-04T23:37:12Z (bootstrap)
2024-05-29,명가녹용 주식회사,녹용,녹용(건조),러시아,러시아,,,2026-07-04T23:37:12Z (bootstrap)
2024-05-24,(주)온누리바이오생약,녹용,녹용(건조),뉴질랜드,뉴질랜드,2024-04-18 ~,,2026-07-04T23:37:12Z (bootstrap)
2024-05-24,주식회사 비봉허브,녹용,녹용(건조),뉴질랜드,뉴질랜드,2024-04-03 ~,,2026-07-04T23:37:12Z (bootstrap)
2024-05-10,와이더블유 인터내셔날,냉동녹용,생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2024-05-03,록원,냉동녹용,생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2024-05-03,(주)대원알디티,녹용(건조),녹용(건조),러시아,러시아,2024-04-11 ~,,2026-07-04T23:37:12Z (bootstrap)
2024-05-03,흥수녹용,녹용(건조),녹용(건조),러시아,러시아,2024-04-11 ~,,2026-07-04T23:37:12Z (bootstrap)
2024-05-01,(주)온누리바이오생약,녹용,녹용(건조),러시아,러시아,2024-03-28 ~,,2026-07-04T23:37:12Z (bootstrap)
2024-05-01,천지담은 바이오,녹용,녹용(건조),러시아,러시아,2024-03-28 ~,,2026-07-04T23:37:12Z (bootstrap)
2024-04-22,명가녹용 주식회사,녹용(건조),녹용(건조),뉴질랜드,중국,2024-04-01 ~,,2026-07-04T23:37:12Z (bootstrap)
2024-04-05,향나바이오 주식회사,녹용,녹용(건조),러시아,러시아,2024-02-28 ~,,2026-07-04T23:37:12Z (bootstrap)
2024-03-27,명가녹용 주식회사,녹용,녹용(건조),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2024-03-26,유진통상,건조녹용,녹용(건조),뉴질랜드,중국,,,2026-07-04T23:37:12Z (bootstrap)
2024-03-26,(주)케이앤씨디어트레이드,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2024-03-12,와이더블유 인터내셔날,냉동녹용,생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2024-02-27,유진통상,건조녹용,녹용(건조),러시아,러시아,2024-02-05 ~,,2026-07-04T23:37:12Z (bootstrap)
2024-02-22,온바이오,생녹용,생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2024-02-21,와이더블유 인터내셔날,냉동녹용,생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2024-02-15,(주)천호엔케어,녹용,녹용(건조),뉴질랜드,뉴질랜드,2024-01-25 ~,,2026-07-04T23:37:12Z (bootstrap)
2024-02-15,(주)우성생약,녹용(건조),녹용(건조),뉴질랜드,중국,2024-01-22 ~,,2026-07-04T23:37:12Z (bootstrap)
2024-02-14,(주)온누리바이오생약,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,2024-01-31 ~,,2026-07-04T23:37:12Z (bootstrap)
2024-02-14,화용제약,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,2024-01-31 ~,,2026-07-04T23:37:12Z (bootstrap)
2024-02-07,와이더블유 인터내셔날,냉동녹용,생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2024-02-07,(주)한국인삼공사,녹용(건조),녹용(건조),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2024-02-07,(주)한국인삼공사,녹용(건조),녹용(건조),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2024-02-07,(주)케이앤씨디어트레이드,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2024-01-31,와이더블유 인터내셔날,냉동녹용,생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2024-01-31,주식회사 유한건강생활,녹용,녹용(냉동),뉴질랜드,뉴질랜드,2024-01-15 ~,,2026-07-04T23:37:12Z (bootstrap)
2024-01-23,(주)케이앤씨디어트레이드,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,2024-01-08 ~,,2026-07-04T23:37:12Z (bootstrap)
2024-01-19,건향제약주식회사,건조녹용,녹용(건조),러시아,홍콩,2023-12-30 ~,,2026-07-04T23:37:12Z (bootstrap)
2024-01-19,한스약품주식회사,건조녹용,녹용(건조),중국,중국,,,2026-07-04T23:37:12Z (bootstrap)
2023-12-28,화용제약,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,2023-12-15 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-12-19,(주)케이앤씨디어트레이드,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2023-12-12,건향제약주식회사,건조녹용,녹용(건조),러시아,러시아,,,2026-07-04T23:37:12Z (bootstrap)
2023-12-11,(주)한국인삼공사,녹용(건조),녹용(건조),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2023-12-06,향나바이오 주식회사,녹용,녹용(건조),뉴질랜드,홍콩,2023-11-10 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-11-29,(주)케이앤씨디어트레이드,건조녹용,녹용(건조),뉴질랜드,홍콩,2023-11-02 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-11-28,화용제약,녹용,녹용(건조),뉴질랜드,중국,2023-11-01 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-11-23,(주)온누리바이오생약,녹용,녹용(건조),뉴질랜드,중국,2023-10-24 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-11-20,와이더블유 인터내셔날,냉동녹용,생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2023-11-20,온바이오,건조녹용,녹용(건조),뉴질랜드,중국,2023-10-16 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-11-09,(주)한국인삼공사,건조녹용,녹용(건조),뉴질랜드,뉴질랜드,2023-10-10 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-10-30,한스약품주식회사,건조녹용,녹용(건조),중국,중국,,,2026-07-04T23:37:12Z (bootstrap)
2023-10-30,밀리언 무역,건조녹용,녹용(건조),러시아,러시아,,,2026-07-04T23:37:12Z (bootstrap)
2023-10-12,(주)한국인삼공사,녹용(건조),녹용(건조),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2023-10-12,(주)한국인삼공사,건조녹용,녹용(건조),뉴질랜드,뉴질랜드,2023-09-11 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-10-05,주식회사 이룡제약,녹용,녹용(건조),뉴질랜드,중국,2023-08-28 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-10-05,(주)케이앤씨디어트레이드,생녹용,생녹용(냉동),뉴질랜드,뉴질랜드,2023-08-23 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-09-05,(주)한국인삼공사,녹용(건조),녹용(건조),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2023-09-05,(주)한국인삼공사,건조녹용,녹용(건조),뉴질랜드,뉴질랜드,2023-08-09 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-08-29,와이더블유 인터내셔날,냉동녹용,생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2023-08-14,주식회사 비봉허브,녹용,녹용(건조),뉴질랜드,뉴질랜드,2023-07-28 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-08-14,대호제약주식회사,건조녹용,녹용(건조),뉴질랜드,중국,2023-07-21 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-08-14,(주)한국인삼공사,건조녹용,녹용(건조),뉴질랜드,뉴질랜드,2023-07-13 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-08-02,주식회사 비봉허브,녹용,녹용(건조),뉴질랜드,뉴질랜드,2023-07-10 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-07-25,와이더블유 인터내셔날,냉동녹용,생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2023-07-25,화용제약,녹용,녹용(건조),뉴질랜드,중국,2023-07-04 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-07-25,천지담은 바이오,녹용,녹용(건조),뉴질랜드,중국,2023-07-03 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-07-25,향나바이오 주식회사,녹용,녹용(건조),뉴질랜드,중국,2023-07-03 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-07-25,(주)케이앤씨디어트레이드,건조녹용,녹용(건조),뉴질랜드,중국,2023-06-28 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-07-25,(주)한국인삼공사,건조녹용,녹용(건조),뉴질랜드,뉴질랜드,2023-06-09 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-07-25,와이더블유 인터내셔날,냉동녹용,생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2023-07-14,(주)케이앤씨디어트레이드,건조녹용,녹용(건조),뉴질랜드,중국,2023-06-18 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-07-12,주식회사 이룡제약,녹용,녹용(건조),뉴질랜드,홍콩,2023-06-29 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-07-11,화용제약,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,2023-07-04 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-07-03,(주)한국인삼공사,녹용(건조),녹용(건조),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2023-06-28,(주)한국인삼공사,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2023-06-07,(주)한국인삼공사,건조녹용,녹용(건조),뉴질랜드,뉴질랜드,2023-05-12 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-06-02,(주)한국인삼공사,녹용(건조),녹용(건조),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2023-06-02,(주)우성생약,녹용(건조),녹용(건조),뉴질랜드,중국,2023-05-17 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-05-23,화용제약,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,2023-05-10 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-05-08,(주)한국인삼공사,건조녹용,녹용(건조),뉴질랜드,뉴질랜드,2023-03-04 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-04-25,(주)한국인삼공사,녹용(건조),녹용(건조),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2023-04-25,주식회사 이룡제약,녹용,녹용(건조),뉴질랜드,중국,2023-03-29 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-04-25,대호제약주식회사,건조녹용,녹용(건조),뉴질랜드,중국,2023-04-09 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-04-11,(주)온누리바이오생약,녹용,생녹용(냉동),뉴질랜드,뉴질랜드,2023-03-28 ~,,2026-07-04T23:37:12Z (bootstrap)
2023-04-11,케이앤씨(K&C),건조녹용,녹용(건조),뉴질랜드,중국,2023-03-26 ~,,2026-07-04T23:37:12Z (bootstrap)
